Date,College Name,Acceptance Rate
2024-05-01 22:47:48,UNIVERSITY-OF-CHICAGO,5
2024-05-02 01:10:44,MISSISSIPPI-STATE-UNIVERSITY,70
2024-05-02 06:11:21,ROSE-HULMAN,73
2024-05-02 14:40:53,DENISON,22
2024-05-02 15:21:17,UNIVERSITY-OF-CHICAGO,5
2024-05-02 19:49:51,SETON-HALL,75
2024-05-02 14:08:29,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-05-03 00:05:53,DU,61
2024-05-03 13:01:29,FULL-SAIL-UNIVERSITY,69
2024-05-03 20:53:14,ROSE-HULMAN,73
2024-05-04 18:01:25,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-05-05 16:09:39,LAFAYETTE-COLLEGE,34
2024-05-05 22:07:50,UNIVERSITY-OF-CHICAGO,5
2024-05-06 19:48:56,OREGON-STATE-UNIVERSITY,83
2024-05-06 20:23:19,ROSE-HULMAN,73
2024-05-06 18:07:03,WESTMINSTER-UNIVERSITY,97
2024-05-06 22:37:01,SYRACUSE-UNIVERSITY,52
2024-05-06 22:41:58,WILLIAMS-COLLEGE,8
2024-05-07 00:28:19,COLORADO-SCHOOL-OF-MINES,58
2024-05-07 16:25:44,UNION-COLLEGE,53
2024-05-07 22:00:24,UNIVERSITY-OF-CHICAGO,5
2024-05-08 18:19:24,UNIVERSITY-OF-COLORADO-DENVER,75
2024-05-08 18:55:00,ANDREW-APOLLONIO-XAVIER-UNIVERSITY-STUDENT,51
2024-05-08 19:47:08,ROSE-HULMAN,73
2024-05-08 22:35:35,UNIVERSITY-OF-CHICAGO,5
2024-05-08 22:45:59,DREXEL-UNIVERSITY,80
2024-05-09 06:15:05,ROSE-HULMAN,73
2024-05-09 13:11:26,COLBY-COLLEGE,8
2024-05-09 16:48:41,CREIGHTON-UNIVERSITY,76
2024-05-09 18:08:18,SETON-HALL,75
2024-05-09 20:00:24,SETON-HALL,75
2024-05-09 20:10:22,COLUMBIA,4
2024-05-09 16:59:50,FORT-LEWIS-COLLEGE,91
2024-05-10 14:15:48,JOHNS-HOPKINS-UNIVERSITY,7
2024-05-10 15:13:34,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-05-10 16:12:58,WESTERN-WASHINGTON-UNIVERSITY,93
2024-05-10 18:50:25,GETTYSBURG-COLLEGE,56
2024-05-10 14:06:14,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-05-10 20:48:26,ROSE-HULMAN,73
2024-05-10 23:22:03,UNIVERSITY-OF-CHICAGO,5
2024-05-11 06:11:08,COLGATE-UNIVERSITY,12
2024-05-11 18:28:47,MISSISSIPPI-STATE-UNIVERSITY,70
2024-05-13 16:40:11,LAFAYETTE-COLLEGE,34
2024-05-13 13:00:00,WHEATON-COLLEGE,89
2024-05-13 19:26:30,MISSISSIPPI-STATE-UNIVERSITY,70
2024-05-13 20:15:00,UNIVERSITY-OF-CHICAGO,5
2024-05-13 22:25:49,ROLLINS-COLLEGE,50
2024-05-13 22:37:25,WILLIAMS-COLLEGE,8
2024-05-13 22:52:03,UNIVERSITY-OF-CHICAGO,5
2024-05-14 21:09:59,RICE,9
2024-05-14 23:24:10,CHAPMAN-UNIVERSITY-EVENTS-&-TOURS,73
2024-05-15 00:10:14,UNIVERSITY-OF-COLORADO-DENVER,75
2024-05-15 15:24:42,COLORADO-MESA-UNIVERSITY,64
2024-05-15 16:19:34,SETON-HALL,75
2024-05-15 11:06:19,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-05-15 20:16:25,FIT,86
2024-05-15 23:37:11,SYRACUSE-UNIVERSITY,52
2024-05-16 06:03:01,ROSE-HULMAN,73
2024-05-16 06:31:14,COLUMBIA,4
2024-05-16 14:28:01,UNIVERSITY-OF-OREGON,86
2024-05-16 16:36:22,UC-SAN-DIEGO,53
2024-05-16 13:00:00,DRURY-UNIVERSITY,63
2024-05-16 11:04:06,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-05-16 18:44:57,JULIE-NELSON-ASSISTANT-DEAN,75
2024-05-16 18:08:30,WESTMINSTER-UNIVERSITY,97
2024-05-16 19:14:18,COLGATE-UNIVERSITY,12
2024-05-16 19:27:20,NORTHEASTERN-UNIVERSITY,7
2024-05-16 22:11:04,SETON-HALL,75
2024-05-16 23:09:14,UNIVERSITY-OF-CHICAGO,5
2024-05-17 14:09:26,WESTERN-WASHINGTON-UNIVERSITY,93
2024-05-17 16:27:12,FIT,86
2024-05-17 14:01:35,FULL-SAIL-UNIVERSITY,69
2024-05-17 19:26:32,ROSE-HULMAN,73
2024-05-17 19:59:52,TRINITY-UNIVERSITY,31
2024-05-17 20:19:54,UNIVERSITY-OF-CHICAGO,5
2024-05-18 00:10:53,GATECH,97
2024-05-18 14:59:21,OREGONSTATE,83
2024-05-18 11:33:45,IOWA-UNIVERSITY-OF-IOWA,86
2024-05-19 14:24:55,JOHNS-HOPKINS-UNIVERSITY,7
2024-05-19 14:58:48,ROWAN-UNIVERSITY,77
2024-05-20 14:40:13,COLGATE-UNIVERSITY,12
2024-05-20 18:18:12,ELLEN-SWEENEY-UNIVERSITY-OF-COLORADO-DENVER,14
2024-05-20 19:33:29,ROSE-HULMAN,73
2024-05-20 14:57:07,COLLEGE-BOARD,60
2024-05-20 22:41:35,WILLIAMS-COLLEGE,8
2024-05-20 18:01:23,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-05-21 00:58:10,COLORADO-SCHOOL-OF-MINES,58
2024-05-21 14:30:30,COLUMBIA,4
2024-05-21 16:26:36,HASTINGS,71
2024-05-21 16:35:13,LAFAYETTE-COLLEGE,34
2024-05-21 17:06:37,UNIVERSITY-OF-DENVER,78
2024-05-21 17:01:30,FORT-LEWIS-COLLEGE,91
2024-05-21 21:16:59,RICE,9
2024-05-21 23:00:00,COLORADO-STATE-UNIVERSITY,91
2024-05-22 09:09:20,MISSISSIPPI-STATE,70
2024-05-22 14:24:42,DENISON,22
2024-05-22 21:22:18,ROSE-HULMAN,73
2024-05-23 20:12:58,RICE,9
2024-05-23 21:00:00,WASHINGTON-STATE-UNIVERSITY,83
2024-05-23 22:17:38,FLORIDA-POLYTECHNIC-UNIVERSITY,47
2024-05-23 22:19:47,SETON-HALL,75
2024-05-23 22:32:18,TRINITY-UNIVERSITY,31
2024-05-24 00:44:24,UNIVERSITY-OF-DENVER,78
2024-05-24 09:03:00,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-05-24 15:39:32,MISSISSIPPI-STATE-UNIVERSITY,70
2024-05-24 16:13:49,BUCKNELL-UNIVERSITY,33
2024-05-24 16:18:17,SETON-HALL,75
2024-05-24 18:02:05,GETTYSBURG-COLLEGE,56
2024-05-24 18:36:04,UNIVERSITY-OF-CHICAGO,5
2024-05-24 19:48:22,ROSE-HULMAN,73
2024-05-25 16:39:16,COLBY-COLLEGE,8
2024-05-25 18:46:36,MISSISSIPPI-STATE-UNIVERSITY,70
2024-05-26 00:24:57,GETTYSBURG-COLLEGE,56
2024-05-26 14:06:48,JOHNS-HOPKINS-UNIVERSITY,7
2024-05-26 17:47:28,UNC,62
2024-05-26 18:09:57,WESTMINSTER-UNIVERSITY,97
2024-05-27 18:10:16,WESTERN-WASHINGTON-UNIVERSITY,93
2024-05-27 21:58:59,UNIVERSITY-OF-CHICAGO,5
2024-05-27 22:34:42,WILLIAMS-COLLEGE,8
2024-05-28 14:39:01,COLUMBIA,4
2024-05-28 18:49:37,UNIVERSITY-OF-COLORADO-DENVER,75
2024-05-28 19:25:13,ROSE-HULMAN,73
2024-05-28 19:31:10,NORTHEASTERN-UNIVERSITY,7
2024-05-28 21:17:49,SETON-HALL,75
2024-05-28 16:37:52,IOWA-UNIVERSITY-OF-IOWA,86
2024-05-29 15:31:17,COLGATE-UNIVERSITY,12
2024-05-29 16:28:14,LAFAYETTE-COLLEGE,34
2024-05-29 17:27:05,FIT,86
2024-05-29 18:43:01,UNION-COLLEGE,53
2024-05-29 20:57:39,UNIVERSITY-OF-CHICAGO,5
2024-05-30 14:16:52,COLGATE-UNIVERSITY,12
2024-05-30 19:33:31,UNIVERSITY-OF-CHICAGO,5
2024-05-30 21:19:22,FIT,86
2024-05-30 22:21:38,SETON-HALL,75
2024-05-30 22:51:47,WILLIAMS-COLLEGE,8
2024-05-30 23:10:17,TEXAS-TECH-UNIVERSITY,67
2024-05-31 14:36:55,LAUREN-PARCELL-DEAN,75
2024-05-31 17:04:53,UNIVERSITY-OF-DENVER,78
2024-05-31 17:37:20,HASTINGS,71
2024-05-31 19:46:44,ROWAN-UNIVERSITY,77
2024-05-31 20:03:36,GATECH,97
2024-05-31 17:10:35,FULL-SAIL-UNIVERSITY,69
2024-06-01 18:16:35,UNIVERSITY-OF-CHICAGO,5
2024-06-02 14:05:57,JOHNS-HOPKINS-UNIVERSITY,7
2024-06-02 15:30:47,SETON-HALL,75
2024-06-03 16:45:14,CREIGHTON-UNIVERSITY,76
2024-06-03 18:37:33,COLORADO-SCHOOL-OF-MINES,58
2024-06-03 19:12:01,MISSISSIPPI-STATE-UNIVERSITY,70
2024-06-03 19:19:36,SETON-HALL-UNIVERSITY,75
2024-06-03 19:28:36,ROSE-HULMAN,73
2024-06-03 17:04:08,FORT-LEWIS-COLLEGE,91
2024-06-03 22:37:11,WILLIAMS-COLLEGE,8
2024-06-04 09:12:00,ARIZONA-STATE-UNIVERSITY,90
2024-06-04 11:06:15,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-04 21:15:38,RICE,9
2024-06-04 22:12:03,DREXEL-UNIVERSITY,80
2024-06-04 18:02:25,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-05 18:18:17,UNION-COLLEGE,53
2024-06-05 14:30:00,HAWAI‘I-PACIFIC-UNIVERSITY,85
2024-06-05 18:39:36,JULIE-NELSON-ASSISTANT-DEAN,75
2024-06-05 19:30:21,NORTHEASTERN-UNIVERSITY,7
2024-06-05 19:32:32,ROSE-HULMAN,73
2024-06-05 22:07:03,DREXEL-UNIVERSITY,80
2024-06-06 09:14:59,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-06 20:12:32,TRINITY-UNIVERSITY,31
2024-06-06 21:15:22,RICE,9
2024-06-06 22:26:43,SETON-HALL,75
2024-06-07 00:10:24,DU,61
2024-06-07 14:59:45,JOHNS-HOPKINS-UNIVERSITY,7
2024-06-07 16:07:10,COLUMBIA,4
2024-06-07 19:03:44,ROSE-HULMAN,73
2024-06-07 22:08:00,UNIVERSITY-OF-CHICAGO,5
2024-06-08 07:27:50,NORTHEASTERN,7
2024-06-08 14:30:37,CLEMSON-UNIVERSITY,43
2024-06-08 15:18:00,SETON-HALL,75
2024-06-09 14:14:11,COLGATE-UNIVERSITY,12
2024-06-09 14:31:08,DENISON,22
2024-06-09 20:34:09,UNC,62
2024-06-10 15:20:29,GEORGE-MASON-UNIVERSITY,90
2024-06-10 12:00:00,DRURY-UNIVERSITY,63
2024-06-10 19:29:36,NORTHEASTERN-UNIVERSITY,7
2024-06-10 21:09:52,ROSE-HULMAN,73
2024-06-10 22:05:16,WILLIAMS-COLLEGE,8
2024-06-11 14:01:51,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-06-12 14:30:35,CLEMSON-UNIVERSITY,43
2024-06-12 11:00:00,WHEATON-COLLEGE,89
2024-06-12 19:48:21,XAVIER-UNIVERSITY,84
2024-06-12 21:00:00,WASHINGTON-STATE-UNIVERSITY,83
2024-06-12 16:24:46,ARIZONA-STATE-UNIVERSITY,90
2024-06-13 06:03:49,COLUMBIA,4
2024-06-13 13:15:44,COLBY-COLLEGE,8
2024-06-13 14:49:29,CLEMSON-UNIVERSITY,43
2024-06-13 17:14:40,RICE,9
2024-06-13 20:16:56,TRINITY-UNIVERSITY,31
2024-06-13 22:28:44,SETON-HALL,75
2024-06-14 13:09:33,COLGATE-UNIVERSITY,12
2024-06-14 14:20:23,JOHNS-HOPKINS-UNIVERSITY,7
2024-06-14 15:01:07,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-14 09:02:55,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-06-14 15:49:49,ROSE-HULMAN,73
2024-06-14 16:08:09,UC-SAN-DIEGO,53
2024-06-14 14:01:13,FULL-SAIL-UNIVERSITY,69
2024-06-14 19:07:17,COLUMBIA,4
2024-06-15 14:38:15,CLEMSON-UNIVERSITY,43
2024-06-15 16:36:41,DAVIDSON-COLLEGE,17
2024-06-16 18:15:50,WESTERN-WASHINGTON-UNIVERSITY,93
2024-06-16 19:30:00,WASHINGTON-STATE-UNIVERSITY,83
2024-06-16 19:36:32,UNC,62
2024-06-17 14:09:57,COLBY-COLLEGE,8
2024-06-17 16:34:46,CREIGHTON-UNIVERSITY,76
2024-06-17 17:11:12,UNIVERSITY-OF-COLORADO-DENVER,75
2024-06-17 19:28:51,ROSE-HULMAN,73
2024-06-17 13:01:48,ELON-UNIVERSITY,74
2024-06-17 22:10:13,TRINITY-UNIVERSITY,31
2024-06-17 17:31:00,UNIVERSITY-OF-WASHINGTON,48
2024-06-17 23:10:22,WESTERN-WASHINGTON-UNIVERSITY,93
2024-06-18 06:18:56,COLUMBIA,4
2024-06-18 12:44:11,IOWA-UNIVERSITY-OF-IOWA,86
2024-06-18 20:00:00,COLORADO-STATE-UNIVERSITY,91
2024-06-18 20:05:39,COLORADO-MESA-UNIVERSITY,64
2024-06-18 21:19:40,RICE,9
2024-06-18 22:13:42,LAFAYETTE-COLLEGE,34
2024-06-19 00:39:38,COLORADO-SCHOOL-OF-MINES,58
2024-06-19 18:58:37,JULIE-NELSON-ASSISTANT-DEAN,75
2024-06-19 18:03:24,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-20 16:13:02,SETON-HALL,75
2024-06-20 17:18:06,ROWAN-UNIVERSITY,77
2024-06-20 17:58:13,ROSE-HULMAN,73
2024-06-20 18:17:17,COLGATE-UNIVERSITY,12
2024-06-20 19:31:07,EBONY-CLINTON-BROWN—DEAN,5
2024-06-20 20:44:35,UNIVERSITY-OF-CHICAGO,5
2024-06-20 22:16:41,TRINITY-UNIVERSITY,31
2024-06-20 22:32:10,SETON-HALL,75
2024-06-20 23:46:27,UNIVERSITY-OF-CHICAGO,5
2024-06-21 14:13:34,JOHNS-HOPKINS-UNIVERSITY,7
2024-06-21 14:34:47,WESTERN-WASHINGTON-UNIVERSITY,93
2024-06-21 14:47:46,CLEMSON-UNIVERSITY,43
2024-06-21 16:27:47,ROSE-HULMAN,73
2024-06-22 09:05:37,MISSISSIPPI-STATE,70
2024-06-22 18:12:44,LAFAYETTE-COLLEGE,34
2024-06-23 16:39:57,OIT,66
2024-06-23 19:29:29,JOHNS-HOPKINS-UNIVERSITY,7
2024-06-23 23:14:24,TEXAS-TECH-UNIVERSITY,67
2024-06-24 09:11:12,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-06-24 19:31:33,ROSE-HULMAN,73
2024-06-24 20:10:13,MISSISSIPPI-STATE-UNIVERSITY,70
2024-06-24 22:04:53,WILLIAMS-COLLEGE,8
2024-06-24 22:17:01,UNIVERSITY-OF-CHICAGO,5
2024-06-24 22:33:17,DREXEL-UNIVERSITY,80
2024-06-24 22:40:35,OMAR-MORENO-GETTYSBURG-COLLEGE,56
2024-06-25 00:25:41,CHAPMAN-UNIVERSITY,73
2024-06-25 15:33:15,COLGATE-UNIVERSITY,12
2024-06-26 16:19:24,WESTERN-WASHINGTON-UNIVERSITY,93
2024-06-26 17:01:28,CREIGHTON-UNIVERSITY,76
2024-06-26 19:22:17,NORTHEASTERN-UNIVERSITY,7
2024-06-26 20:08:10,ROSE-HULMAN,73
2024-06-26 21:04:58,COLBY-COLLEGE,8
2024-06-26 23:10:47,UNIVERSITY-OF-COLORADO-BOULDER,79
2024-06-27 14:28:43,COLUMBIA,4
2024-06-27 22:01:20,BUCKNELL-UNIVERSITY,33
2024-06-27 22:39:43,SETON-HALL,75
2024-06-28 20:06:40,GATECH,97
2024-06-28 21:24:30,COLGATE-UNIVERSITY,12
2024-06-28 20:08:23,ARIZONA-STATE-UNIVERSITY,90
2024-06-29 16:12:12,DAVIDSON-COLLEGE,17
2024-06-30 14:26:15,DENISON,22
2024-06-30 17:39:30,XAVIER-UNIVERSITY,84
2024-06-30 21:00:00,WASHINGTON-STATE-UNIVERSITY,83
2024-07-01 16:00:00,SAINT-LOUIS-UNIVERSITY,85
2024-07-01 19:13:00,EBONY-CLINTON-BROWN—DEAN,5
2024-07-01 20:04:43,MISSISSIPPI-STATE-UNIVERSITY,70
2024-07-01 20:07:54,MISSISSIPPI-STATE-UNIVERSITY,70
2024-07-01 20:41:38,UNIVERSITY-OF-CHICAGO,5
2024-07-01 21:02:39,MISSISSIPPI-STATE-UNIVERSITY,70
2024-07-02 09:04:29,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-07-02 20:46:50,DREXEL-UNIVERSITY,80
2024-07-02 22:00:00,MIAMI-UNIVERSITY,100
2024-07-03 14:12:42,WESTERN,27
2024-07-03 16:26:42,SETON-HALL,75
2024-07-03 18:26:37,ROSE-HULMAN,73
2024-07-03 14:10:46,WORCESTER-POLYTECHNIC-INSTITUTE,57
2024-07-03 20:57:36,WASHINGTON-STATE-UNIVERSITY,83
2024-07-03 21:04:16,UNC,62
2024-07-04 14:09:34,COLUMBIA,4
2024-07-04 18:08:09,UNION-COLLEGE,53
2024-07-04 22:42:57,SETON-HALL,75
2024-07-05 20:35:02,NORTHEASTERN,7
2024-07-06 15:20:48,SETON-HALL,75
2024-07-07 23:14:04,TEXAS-TECH-UNIVERSITY,67
2024-07-08 15:24:47,GEORGE-MASON-UNIVERSITY,90
2024-07-08 17:02:48,CREIGHTON-UNIVERSITY,76
2024-07-08 18:56:59,CREIGHTON-UNIVERSITY,76
2024-07-08 20:05:10,COLGATE-UNIVERSITY,12
2024-07-08 20:10:39,ROSE-HULMAN,73
2024-07-08 21:11:28,UNIVERSITY-OF-OREGON,86
2024-07-08 21:24:01,TRINITY-UNIVERSITY,31
2024-07-08 22:03:32,UNIVERSITY-OF-CHICAGO,5
2024-07-08 22:10:21,UNIVERSITY-OF-COLORADO-DENVER,75
2024-07-08 21:25:09,ROLLINS-COLLEGE,50
2024-07-08 23:10:58,TEXAS-TECH-UNIVERSITY,67
2024-07-08 23:49:54,DU,61
2024-07-09 00:20:22,CHAPMAN-UNIVERSITY,73
2024-07-09 15:40:40,COLGATE-UNIVERSITY,12
2024-07-09 17:03:28,COLUMBIA,4
2024-07-09 18:14:52,GETTYSBURG-COLLEGE,56
2024-07-09 15:00:00,HAWAI‘I-PACIFIC-UNIVERSITY,85
2024-07-09 15:01:55,UNIVERSITY-OF-WASHINGTON,48
2024-07-09 13:22:00,ELON-UNIVERSITY,74
2024-07-09 22:47:35,DREXEL-UNIVERSITY,80
2024-07-10 17:49:14,NORTHEASTERN,7
2024-07-10 18:46:29,ROSE-HULMAN,73
2024-07-10 14:34:15,IOWA-UNIVERSITY-OF-IOWA,86
2024-07-10 21:28:20,NORTHERN-ARIZONA-UNIVERSITY,80
2024-07-11 08:00:00,WASHINGTON-STATE-UNIVERSITY,83
2024-07-11 13:11:39,COLBY-COLLEGE,8
2024-07-11 19:25:50,NORTHEASTERN-UNIVERSITY,7
2024-07-11 15:38:59,EMBRY-RIDDLE-AERONAUTICAL-UNIVERSITY,65
2024-07-11 22:44:35,SETON-HALL,75
2024-07-11 23:34:15,UNIVERSITY-OF-COLORADO-BOULDER,79
2024-07-12 00:18:53,UNIVERSITY-OF-CHICAGO,5
2024-07-12 00:47:06,UNIVERSITY-OF-ADVANCING-TECHNOLOGY,91
2024-07-12 18:26:02,BUCKNELL-UNIVERSITY,33
2024-07-12 19:30:05,ROSE-HULMAN,73
2024-07-12 23:04:33,WILLAMETTE-UNIVERSITY,81
2024-07-13 15:14:43,RICE,9
2024-07-13 16:39:37,DAVIDSON-COLLEGE,17
2024-07-13 17:48:31,ROLANDO-ROJAS-REGIONAL-RECRUITMENT-DIRECTOR,96
2024-07-14 16:24:39,UC-SAN-DIEGO,53
2024-07-14 17:08:43,COLGATE-UNIVERSITY,12
2024-07-14 20:03:41,UNC,62
2024-07-14 22:31:26,UNIVERSITY-OF-CHICAGO,5
2024-07-14 23:14:14,TEXAS-TECH-UNIVERSITY,67
2024-07-15 14:09:02,COLBY-COLLEGE,8
